,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,neighborhood_median,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6193,47833260,Private room with bed and TV,379312368,Rafat,West Ridge,41.996959999999994,-87.68965,Private room,13,54,1,0,,0.0,5,365
6194,47833713,"New, sunny 1 bdrm  apartment with lofted ceiling",224672467,Jessica,Logan Square,41.91718,-87.70917,Entire home/apt,75,90,1,0,,0.0,2,46
6195,47835176,Perfect place which is near everywhere.,257063443,Emran,Ohare,41.976929999999996,-87.84018,Entire home/apt,70,70,30,0,,0.0,1,0
6196,47842188,Steps from South Loop 1bed/1bath Apt,5221831,Allen,Douglas,41.836690000000004,-87.61601,Entire home/apt,49,80,90,0,,0.0,1,286
6197,47855474,Mimie’s Little Paradise,74064081,Murielle,Near North Side,41.89263,-87.62305,Entire home/apt,200,132,1,1,2021-02-15,1.0,1,175
6198,47859074,STUNNING SPACIOUS APARTMENT NEAR LAKE SHORE,95182193,Malika,South Shore,41.76474,-87.58204,Entire home/apt,150,60,1,0,,0.0,1,364
6199,47861091,Lofty 1Bedroom in GoldCoast,81967241,Joshua,Near North Side,41.90675,-87.62883000000001,Entire home/apt,52,132,32,0,,0.0,1,222
6200,47862092,Private Room D / Self Check In,338076137,Tetyana,East Garfield Park,41.8767,-87.71305,Private room,28,49,3,0,,0.0,6,364
6201,47863275,Private room downtown around downtown 2,383077262,Jacobson,Lower West Side,41.85972,-87.65853,Private room,40,70,1,0,,0.0,3,364
6202,47880622,"Smart South Loop 1BR w/ Pool & gym, near CTA Train, by Blueground",107434423,Blueground,Near South Side,41.86707,-87.62311,Entire home/apt,141,126,30,0,,0.0,220,307
6203,47888798,50% OFF Gold Coast High-Rise!,364184654,Millennial,Near North Side,41.9029,-87.62906,Entire home/apt,132,132,31,0,,0.0,1,109
6204,47891360,Perfect cozy flat for out of town travelers,379788919,Maurice,Woodlawn,41.77707,-87.61386999999999,Entire home/apt,103,52,2,0,,0.0,1,177
6205,47904524,Peaceful Private Rm with Free Parking & Laundry,91186260,Jessie,Englewood,41.79014,-87.63344000000001,Private room,26,77,6,0,,0.0,7,0
6206,47910005,⭐️1A/Fast WiFi/Comfy Bed/3miles to UIC/Free parking,186115134,Djamila,West Town,41.89117,-87.67886,Private room,49,100,3,0,,0.0,24,17
6207,47910302,Logan Square/Wicker Park Entire home - 3 floors,86905392,Allison,Logan Square,41.91445,-87.69171,Entire home/apt,213,90,2,0,,0.0,2,26
